timestamp,T_indoor_C,T_outdoor_C,Q_heat_pump_kW,electricity_demand_kW,COP,fabric,archetype,weather_scenario,replicate
2011-03-19 12:15:00,15.56458015416746,9.25,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 12:30:00,15.59251436101243,9.5,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 12:45:00,15.628101393515099,9.75,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 13:00:00,15.669613632658649,10.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 13:15:00,15.712582147263044,10.25,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 13:30:00,15.757433703658398,10.5,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 13:45:00,15.803418901433664,10.75,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 14:00:00,15.850125026070826,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 14:15:00,15.889883394310893,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 14:30:00,15.917516694376578,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 14:45:00,15.934601228796868,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 15:00:00,15.943542658055318,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 15:15:00,15.944594201611258,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 15:30:00,15.935252657158578,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 15:45:00,15.916358723631356,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 16:00:00,15.887943109085564,11.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 16:15:00,15.840043476626537,10.5,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 16:30:00,15.765276204971505,10.0,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 16:45:00,15.667301580414444,9.5,0.0,0.0,4.5,F1,B1,W1,0
2011-03-19 17:00:00,16.035682305359973,9.0,13.523398267063696,4.190064933730363,4.5,F1,B1,W1,0
2011-03-19 17:15:00,16.74733267042059,8.75,12.4446091744716,3.1124847299012472,4.5,F1,B1,W1,0
2011-03-19 17:30:00,17.34770828938418,8.5,11.127340117274446,2.4727422482832107,4.5,F1,B1,W1,0
2011-03-19 17:45:00,17.82424330658071,8.25,9.771305697631965,2.176237349138522,4.49,F1,B1,W1,0
2011-03-19 18:00:00,18.198948990665215,8.0,8.705347561899993,1.9518716506502227,4.46,F1,B1,W1,0
2011-03-19 18:15:00,18.488246398425577,7.5,7.880056748668881,1.7909219883338365,4.4,F1,B1,W1,0
2011-03-19 18:30:00,18.705376969415564,7.0,7.260077935641781,1.6728290174289822,4.34,F1,B1,W1,0
2011-03-19 18:45:00,18.85993882824848,6.5,6.730706821098943,1.5725950516586313,4.28,F1,B1,W1,0
2011-03-19 19:00:00,18.96301050478437,6.0,6.3561676688065365,1.5062008693854354,4.22,F1,B1,W1,0
2011-03-19 19:15:00,19.029477689484647,5.5,6.090010792639153,1.4639449020767197,4.16,F1,B1,W1,0
2011-03-19 19:30:00,19.072532903036265,5.0,5.893313431369481,1.437393519846215,4.1,F1,B1,W1,0
2011-03-19 19:45:00,19.091443614245186,4.5,5.760930215925731,1.4259728257241902,4.04,F1,B1,W1,0
2011-03-19 20:00:00,19.08934880272149,4.0,5.687144571449105,1.4289307968465088,3.98,F1,B1,W1,0
2011-03-19 20:15:00,19.072643241664547,3.75,5.689085277861327,1.4402747538889438,3.95,F1,B1,W1,0
2011-03-19 20:30:00,19.047018167911904,3.5,5.715214112699677,1.4579627838519589,3.92,F1,B1,W1,0
2011-03-19 20:45:00,19.019700705899204,3.25,5.7453885980189385,1.4769636498763343,3.89,F1,B1,W1,0
2011-03-19 21:00:00,18.990103513225236,3.0,5.779651362425198,1.4973190058096366,3.86,F1,B1,W1,0
2011-03-19 21:15:00,18.950323075831868,2.75,5.836541035998007,1.5239010537853805,3.83,F1,B1,W1,0
2011-03-19 21:30:00,18.912845128377906,2.5,5.891611987568392,1.5504242072548398,3.8,F1,B1,W1,0
2011-03-19 21:45:00,18.87124439416647,2.25,5.949290278398918,1.5780610818034266,3.77,F1,B1,W1,0
2011-03-19 22:00:00,18.825836998635875,2.0,6.02005249656628,1.6096397049642461,3.74,F1,B1,W1,0
2011-03-19 22:15:00,18.557781306122436,1.7,0.0,0.0,3.704,F1,B1,W1,0
2011-03-19 22:30:00,18.0938136466648,1.4,0.0,0.0,3.668,F1,B1,W1,0
2011-03-19 22:45:00,17.637037089552756,1.0999999999999999,0.0,0.0,3.632,F1,B1,W1,0
2011-03-19 23:00:00,17.18587305186155,0.8,0.0,0.0,3.596,F1,B1,W1,0
2011-03-19 23:15:00,16.74069852880853,0.8,0.0,0.0,3.596,F1,B1,W1,0
2011-03-19 23:30:00,16.308364842726537,0.8,0.0,0.0,3.596,F1,B1,W1,0
2011-03-19 23:45:00,15.889774294847891,0.8,0.0,0.0,3.596,F1,B1,W1,0
2011-03-19 00:00:00,14.796968472760033,1.0,0.0,0.0,3.62,F1,B2,W1,0
2011-03-19 00:15:00,14.490488086382987,0.85,2.8703670955862792,0.7968814812843641,3.602,F1,B2,W1,0
2011-03-19 00:30:00,14.385683641722554,0.7,4.467942358831025,1.246635702798835,3.584,F1,B2,W1,0
2011-03-19 00:45:00,14.303295476988,0.5499999999999999,4.64385408828111,1.3022585777569013,3.566,F1,B2,W1,0
2011-03-19 01:00:00,14.22887465919751,0.4,4.797458020603954,1.3521584049052857,3.548,F1,B2,W1,0
2011-03-19 01:15:00,14.156129363147368,0.050000000000000065,4.915649319996781,1.4020676896739248,3.5060000000000002,F1,B2,W1,0
2011-03-19 01:30:00,14.084901339759707,-0.2999999999999999,5.026919111970317,1.45118912008381,3.464,F1,B2,W1,0
2011-03-19 01:45:00,14.013706005028641,-0.6499999999999998,5.134111886671245,1.500324923048288,3.422,F1,B2,W1,0
2011-03-19 02:00:00,13.942599042391414,-1.0,5.238051757053001,1.5497194547494086,3.38,F1,B2,W1,0
2011-03-19 02:15:00,13.866241671846694,-1.5,5.322996057202198,1.6033120654223492,3.32,F1,B2,W1,0
2011-03-19 02:30:00,13.784065492425537,-2.0,5.416572668846204,1.6615253585417806,3.26,F1,B2,W1,0
2011-03-19 02:45:00,13.697984242620029,-2.5,5.512182594184502,2.026537718450184,2.72,F1,B2,W1,0
2011-03-19 03:00:00,13.605718457708784,-3.0,5.61465302434782,2.103654186717055,2.669,F1,B2,W1,0
2011-03-19 03:15:00,13.525909506978515,-2.5,5.882650333489603,2.1627390931947077,2.72,F1,B2,W1,0
2011-03-19 03:30:00,13.477941439610682,-2.0,6.088205451447709,1.8675476844931627,3.26,F1,B2,W1,0
2011-03-19 03:45:00,13.459235964957118,-1.5,6.231278977011854,1.876891258136101,3.32,F1,B2,W1,0
2011-03-19 04:00:00,13.461266358067286,-1.0,6.3282450457618475,1.8722618478585349,3.38,F1,B2,W1,0
2011-03-19 04:15:00,13.463871656690491,-1.25,6.271035844190648,1.8719509982658649,3.35,F1,B2,W1,0
2011-03-19 04:30:00,13.455481017374455,-1.5,6.238829119472093,1.879165397431353,3.32,F1,B2,W1,0
2011-03-19 04:45:00,13.441464289954158,-1.75,6.21956770676387,1.8904461114783804,3.29,F1,B2,W1,0
2011-03-19 05:00:00,13.419319595810203,-2.0,6.216051754635289,1.9067643419126654,3.26,F1,B2,W1,0
2011-03-19 05:15:00,13.395650118945133,-2.0,6.268511783174527,1.9228563752069103,3.26,F1,B2,W1,0
2011-03-19 05:30:00,13.375794558276228,-2.0,6.3116988804607725,1.936103951061587,3.26,F1,B2,W1,0
2011-03-19 05:45:00,13.358293621689606,-2.0,6.350215147503197,1.9479187569028218,3.26,F1,B2,W1,0
2011-03-19 06:00:00,13.346458306296261,-2.0,6.3769493301432005,1.9561194264242945,3.26,F1,B2,W1,0
2011-03-19 06:15:00,13.344868210539241,-1.75,6.433707696404424,1.9555342542262688,3.29,F1,B2,W1,0
2011-03-19 06:30:00,13.359213902848436,-1.5,6.45627938063973,1.9446624640481116,3.32,F1,B2,W1,0
2011-03-19 06:45:00,13.389281182620287,-1.25,6.442671211676262,1.9231854363212721,3.35,F1,B2,W1,0
2011-03-19 07:00:00,13.653768935326436,-1.0,12.6,5.840236686390533,3.38,F1,B2,W1,0
2011-03-19 07:15:00,14.12869097577643,-0.39999999999999997,12.78,5.83314020857474,3.452,F1,B2,W1,0
2011-03-19 07:30:00,14.63600522993264,0.20000000000000004,12.96,5.82633371169126,3.524,F1,B2,W1,0
2011-03-19 07:45:00,15.1708305061527,0.8,13.14,5.819799777530589,3.596,F1,B2,W1,0
2011-03-19 08:00:00,15.722915290062875,1.4,13.32,5.813522355507086,3.668,F1,B2,W1,0
