Model,R_squared,RMSE,AIC,BIC,n_obs
A (HDD-linear),0.06906465326940237,0.5742522580031411,418.8409733799094,425.8022512265934,240
B (Full interaction),0.6439842790688477,0.35512196846328314,204.1493877565884,238.9557769900083,240
