n_homes,admd_mean_kW,admd_median_kW,admd_p5_kW,admd_p95_kW,admd_std_kW,aggregate_peak_mean_kW,individual_peak_mean_kW
5,5.6423,5.7053,4.6443,6.3928,0.561,28.21,5.6423
10,5.601,5.6391,4.8414,6.2348,0.4355,56.01,5.601
20,5.6112,5.6276,5.0961,6.0623,0.301,112.22,5.6112
50,5.6054,5.607,5.2783,5.921,0.1902,280.27,5.6054
100,5.611,5.6118,5.3927,5.8289,0.1329,561.1,5.611
150,5.6133,5.6157,5.4339,5.7911,0.1085,842.0,5.6133
200,5.6114,5.6123,5.4581,5.7612,0.0926,1122.28,5.6114
300,5.613,5.6125,5.4905,5.736,0.0747,1683.9,5.613
500,5.6119,5.6095,5.5133,5.7082,0.06,2805.97,5.6119
