n_homes,admd_mean_kW,admd_median_kW,admd_p5_kW,admd_p95_kW,admd_std_kW,aggregate_peak_mean_kW,individual_peak_mean_kW
5,6.2229,6.3853,5.6418,6.3928,0.3106,31.11,6.2229
10,6.218,6.38,5.7643,6.3928,0.2204,62.18,6.218
20,6.2212,6.2559,5.9478,6.3901,0.1476,124.42,6.2212
50,6.2139,6.2197,6.0389,6.3465,0.0983,310.7,6.2139
100,6.2207,6.2248,6.1063,6.3231,0.0676,622.07,6.2207
150,6.2211,6.226,6.1224,6.3058,0.056,933.17,6.2211
200,6.2191,6.2212,6.1372,6.293,0.0487,1243.82,6.2191
300,6.2188,6.2201,6.1501,6.283,0.0409,1865.65,6.2188
500,6.2189,6.2209,6.1656,6.2679,0.0312,3109.45,6.2189
