n_homes,admd_mean_kW,admd_median_kW,admd_p5_kW,admd_p95_kW,admd_std_kW,aggregate_peak_mean_kW,individual_peak_mean_kW
5,5.5629,5.6434,4.4699,6.3928,0.5854,27.81,5.5629
10,5.5159,5.547,4.7488,6.2266,0.4485,55.16,5.5159
20,5.5273,5.5532,5.0091,6.0153,0.3204,110.55,5.5273
50,5.5265,5.5332,5.1898,5.8281,0.1938,276.33,5.5265
100,5.532,5.5373,5.2958,5.7526,0.1393,553.2,5.532
150,5.539,5.5414,5.35,5.7298,0.1155,830.84,5.539
200,5.537,5.5399,5.3749,5.7,0.0978,1107.39,5.537
300,5.5349,5.5338,5.4041,5.6605,0.0781,1660.48,5.5349
500,5.5334,5.5359,5.4289,5.6324,0.062,2766.69,5.5334
