timestamp,T_outdoor_C,solar_W_m2,wind_speed_m_s
2021-02-10 00:00:00,-1.0,0.0,5.7
2021-02-10 00:15:00,-1.0,0.0,5.55
2021-02-10 00:30:00,-1.0,0.0,5.3999999999999995
2021-02-10 00:45:00,-1.0,0.0,5.25
2021-02-10 01:00:00,-1.0,0.0,5.1
2021-02-10 01:15:00,-1.0,0.0,5.25
2021-02-10 01:30:00,-1.0,0.0,5.4
2021-02-10 01:45:00,-1.0,0.0,5.55
2021-02-10 02:00:00,-1.0,0.0,5.7
2021-02-10 02:15:00,-1.0,0.0,5.55
2021-02-10 02:30:00,-1.0,0.0,5.3999999999999995
2021-02-10 02:45:00,-1.0,0.0,5.25
2021-02-10 03:00:00,-1.0,0.0,5.1
2021-02-10 03:15:00,-1.0,0.0,4.475
2021-02-10 03:30:00,-1.0,0.0,3.8499999999999996
2021-02-10 03:45:00,-1.0,0.0,3.225
2021-02-10 04:00:00,-1.0,0.0,2.6
2021-02-10 04:15:00,-1.0,0.0,3.1
2021-02-10 04:30:00,-1.0,0.0,3.5999999999999996
2021-02-10 04:45:00,-1.0,0.0,4.1
2021-02-10 05:00:00,-1.0,0.0,4.6
2021-02-10 05:15:00,-1.0,0.0,4.875
2021-02-10 05:30:00,-1.0,0.0,5.1499999999999995
2021-02-10 05:45:00,-1.0,0.0,5.425
2021-02-10 06:00:00,-1.0,0.0,5.7
2021-02-10 06:15:00,-1.0,0.0,5.7
2021-02-10 06:30:00,-1.0,0.0,5.7
2021-02-10 06:45:00,-1.0,0.0,5.7
2021-02-10 07:00:00,-1.0,0.0,5.7
2021-02-10 07:15:00,-1.0,13.25,5.3
2021-02-10 07:30:00,-1.0,26.5,4.8999999999999995
2021-02-10 07:45:00,-1.0,39.75,4.5
2021-02-10 08:00:00,-1.0,53.0,4.1
2021-02-10 08:15:00,-1.0,77.25,4.1
2021-02-10 08:30:00,-1.0,101.5,4.1
2021-02-10 08:45:00,-1.0,125.75,4.1
2021-02-10 09:00:00,-1.0,150.0,4.1
2021-02-10 09:15:00,-0.75,174.5,4.225
2021-02-10 09:30:00,-0.49999999999999994,199.0,4.35
2021-02-10 09:45:00,-0.24999999999999994,223.5,4.475
2021-02-10 10:00:00,0.0,248.0,4.6
2021-02-10 10:15:00,0.0,263.5,4.725
2021-02-10 10:30:00,0.0,279.0,4.85
2021-02-10 10:45:00,0.0,294.5,4.975
2021-02-10 11:00:00,0.0,310.0,5.1
2021-02-10 11:15:00,0.0,317.5,5.074999999999999
2021-02-10 11:30:00,0.0,325.0,5.05
2021-02-10 11:45:00,0.0,332.5,5.0249999999999995
2021-02-10 12:00:00,0.0,340.0,5.0
2021-02-10 12:15:00,0.075,339.5,5.175
2021-02-10 12:30:00,0.15,339.0,5.3500000000000005
2021-02-10 12:45:00,0.225,338.5,5.525
2021-02-10 13:00:00,0.3,338.0,5.7
2021-02-10 13:15:00,0.35,323.25,5.825
2021-02-10 13:30:00,0.4,308.5,5.95
2021-02-10 13:45:00,0.45,293.75,6.075
2021-02-10 14:00:00,0.5,279.0,6.2
2021-02-10 14:15:00,0.45,260.5,5.9750000000000005
2021-02-10 14:30:00,0.39999999999999997,242.0,5.75
2021-02-10 14:45:00,0.35,223.5,5.525
2021-02-10 15:00:00,0.3,205.0,5.3
2021-02-10 15:15:00,0.25,181.75,5.675
2021-02-10 15:30:00,0.2,158.5,6.05
2021-02-10 15:45:00,0.15,135.25,6.425
2021-02-10 16:00:00,0.1,112.0,6.8
2021-02-10 16:15:00,0.05,90.5,6.25
2021-02-10 16:30:00,-5.059324123335968e-18,69.0,5.699999999999999
2021-02-10 16:45:00,-0.05000000000000001,47.5,5.1499999999999995
2021-02-10 17:00:00,-0.1,26.0,4.6
2021-02-10 17:15:00,-0.1,19.5,4.625
2021-02-10 17:30:00,-0.1,13.0,4.65
2021-02-10 17:45:00,-0.1,6.500000000000001,4.675
2021-02-10 18:00:00,-0.1,0.0,4.7
2021-02-10 18:15:00,-0.125,0.0,4.95
2021-02-10 18:30:00,-0.15000000000000002,0.0,5.2
2021-02-10 18:45:00,-0.17500000000000002,0.0,5.45
2021-02-10 19:00:00,-0.2,0.0,5.7
2021-02-10 19:15:00,-0.225,0.0,5.75
2021-02-10 19:30:00,-0.25,0.0,5.800000000000001
2021-02-10 19:45:00,-0.27499999999999997,0.0,5.8500000000000005
2021-02-10 20:00:00,-0.3,0.0,5.9
2021-02-10 20:15:00,-0.525,0.0,5.625
2021-02-10 20:30:00,-0.75,0.0,5.3500000000000005
2021-02-10 20:45:00,-0.975,0.0,5.075
2021-02-10 21:00:00,-1.2,0.0,4.8
2021-02-10 21:15:00,-1.15,0.0,4.85
2021-02-10 21:30:00,-1.1,0.0,4.9
2021-02-10 21:45:00,-1.05,0.0,4.95
2021-02-10 22:00:00,-1.0,0.0,5.0
2021-02-10 22:15:00,-1.75,0.0,4.275
2021-02-10 22:30:00,-2.5,0.0,3.55
2021-02-10 22:45:00,-3.25,0.0,2.825
2021-02-10 23:00:00,-4.0,0.0,2.1
2021-02-10 23:15:00,-4.0,0.0,2.1
2021-02-10 23:30:00,-4.0,0.0,2.1
2021-02-10 23:45:00,-4.0,0.0,2.1
