timestamp,T_outdoor_C,solar_W_m2,wind_speed_m_s
2011-03-19 00:00:00,1.0,0.0,2.6
2011-03-19 00:15:00,0.85,0.0,1.95
2011-03-19 00:30:00,0.7,0.0,1.3
2011-03-19 00:45:00,0.5499999999999999,0.0,0.6499999999999999
2011-03-19 01:00:00,0.4,0.0,0.0
2011-03-19 01:15:00,0.050000000000000065,0.0,0.0
2011-03-19 01:30:00,-0.2999999999999999,0.0,0.0
2011-03-19 01:45:00,-0.6499999999999998,0.0,0.0
2011-03-19 02:00:00,-1.0,0.0,0.0
2011-03-19 02:15:00,-1.5,0.0,0.525
2011-03-19 02:30:00,-2.0,0.0,1.05
2011-03-19 02:45:00,-2.5,0.0,1.575
2011-03-19 03:00:00,-3.0,0.0,2.1
2011-03-19 03:15:00,-2.5,0.0,1.825
2011-03-19 03:30:00,-2.0,0.0,1.55
2011-03-19 03:45:00,-1.5,0.0,1.275
2011-03-19 04:00:00,-1.0,0.0,1.0
2011-03-19 04:15:00,-1.25,0.0,1.0
2011-03-19 04:30:00,-1.5,0.0,1.0
2011-03-19 04:45:00,-1.75,0.0,1.0
2011-03-19 05:00:00,-2.0,0.0,1.0
2011-03-19 05:15:00,-2.0,0.0,0.75
2011-03-19 05:30:00,-2.0,0.0,0.49999999999999994
2011-03-19 05:45:00,-2.0,0.0,0.24999999999999994
2011-03-19 06:00:00,-2.0,0.0,0.0
2011-03-19 06:15:00,-1.75,23.75,0.25
2011-03-19 06:30:00,-1.5,47.5,0.5
2011-03-19 06:45:00,-1.25,71.25,0.75
2011-03-19 07:00:00,-1.0,95.0,1.0
2011-03-19 07:15:00,-0.39999999999999997,129.0,0.75
2011-03-19 07:30:00,0.20000000000000004,163.0,0.49999999999999994
2011-03-19 07:45:00,0.8,197.0,0.24999999999999994
2011-03-19 08:00:00,1.4,231.0,0.0
2011-03-19 08:15:00,2.0,263.75,0.25
2011-03-19 08:30:00,2.6,296.5,0.5
2011-03-19 08:45:00,3.2,329.25,0.75
2011-03-19 09:00:00,3.8,362.0,1.0
2011-03-19 09:15:00,4.6,392.5,1.4000000000000001
2011-03-19 09:30:00,5.4,423.0,1.8
2011-03-19 09:45:00,6.2,453.5,2.2
2011-03-19 10:00:00,7.0,484.0,2.6
2011-03-19 10:15:00,7.25,510.75,2.475
2011-03-19 10:30:00,7.5,537.5,2.35
2011-03-19 10:45:00,7.75,564.25,2.225
2011-03-19 11:00:00,8.0,591.0,2.1
2011-03-19 11:15:00,8.25,602.25,2.1
2011-03-19 11:30:00,8.5,613.5,2.1
2011-03-19 11:45:00,8.75,624.75,2.1
2011-03-19 12:00:00,9.0,636.0,2.1
2011-03-19 12:15:00,9.25,631.25,1.825
2011-03-19 12:30:00,9.5,626.5,1.55
2011-03-19 12:45:00,9.75,621.75,1.275
2011-03-19 13:00:00,10.0,617.0,1.0
2011-03-19 13:15:00,10.25,599.75,1.0
2011-03-19 13:30:00,10.5,582.5,1.0
2011-03-19 13:45:00,10.75,565.25,1.0
2011-03-19 14:00:00,11.0,548.0,1.0
2011-03-19 14:15:00,11.0,519.75,1.2750000000000001
2011-03-19 14:30:00,11.0,491.5,1.55
2011-03-19 14:45:00,11.0,463.25,1.8250000000000002
2011-03-19 15:00:00,11.0,435.0,2.1
2011-03-19 15:15:00,11.0,399.0,2.1
2011-03-19 15:30:00,11.0,363.0,2.1
2011-03-19 15:45:00,11.0,327.0,2.1
2011-03-19 16:00:00,11.0,291.0,2.1
2011-03-19 16:15:00,10.5,253.0,1.95
2011-03-19 16:30:00,10.0,215.0,1.8
2011-03-19 16:45:00,9.5,177.0,1.65
2011-03-19 17:00:00,9.0,139.0,1.5
2011-03-19 17:15:00,8.75,112.25,1.7750000000000001
2011-03-19 17:30:00,8.5,85.5,2.0500000000000003
2011-03-19 17:45:00,8.25,58.74999999999999,2.325
2011-03-19 18:00:00,8.0,32.0,2.6
2011-03-19 18:15:00,7.5,24.0,2.2
2011-03-19 18:30:00,7.0,15.999999999999998,1.8
2011-03-19 18:45:00,6.5,7.999999999999998,1.4
2011-03-19 19:00:00,6.0,0.0,1.0
2011-03-19 19:15:00,5.5,0.0,1.0
2011-03-19 19:30:00,5.0,0.0,1.0
2011-03-19 19:45:00,4.5,0.0,1.0
2011-03-19 20:00:00,4.0,0.0,1.0
2011-03-19 20:15:00,3.75,0.0,1.0
2011-03-19 20:30:00,3.5,0.0,1.0
2011-03-19 20:45:00,3.25,0.0,1.0
2011-03-19 21:00:00,3.0,0.0,1.0
2011-03-19 21:15:00,2.75,0.0,0.75
2011-03-19 21:30:00,2.5,0.0,0.49999999999999994
2011-03-19 21:45:00,2.25,0.0,0.24999999999999994
2011-03-19 22:00:00,2.0,0.0,0.0
2011-03-19 22:15:00,1.7,0.0,0.0
2011-03-19 22:30:00,1.4,0.0,0.0
2011-03-19 22:45:00,1.0999999999999999,0.0,0.0
2011-03-19 23:00:00,0.8,0.0,0.0
2011-03-19 23:15:00,0.8,0.0,0.0
2011-03-19 23:30:00,0.8,0.0,0.0
2011-03-19 23:45:00,0.8,0.0,0.0
